,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,Survivors,seating_capacity,State,City
19218,20001213X32627,Accident,NYC88LA046,1987-11-24,"MENDHAM, NJ",United States,,,Non-Fatal,Substantial,Airplane,N5520H,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1987,11,24,cessna 152,152,2.0,2-seater,NJ,MENDHAM
19220,20001213X32564,Accident,LAX88LA054,1987-11-24,"SAN CLEMENTE, CA",United States,SNA,,Non-Fatal,Substantial,Airplane,N5418P,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1987,11,24,cessna 152,152,1.0,2-seater,CA,SAN CLEMENTE
19222,20001213X32519,Accident,DEN88LA028,1987-11-24,"ABERDEEN, SD",United States,ABR,ABERDEEN MUNI,Non-Fatal,Substantial,Airplane,N1380Q,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1987,11,24,cessna 150l,150,2.0,2-seater,SD,ABERDEEN
19223,20001213X32478,Accident,ATL88LA045,1987-11-24,"WAYNESBORO, GA",United States,2J7,BURKE COUNTY,Non-Fatal,Substantial,Airplane,N4081V,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,11,24,cessna 150m,150,1.0,2-seater,GA,WAYNESBORO
19230,20001213X32566,Accident,LAX88LA056,1987-11-25,"SACRAMENTO, CA",United States,SAC,SACRAMENTO EXECUTIVE,Non-Fatal,Substantial,Airplane,N75825,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,11,25,cessna 172n,172,1.0,4-seater,CA,SACRAMENTO
19239,20001213X32463,Accident,ATL88FA046,1987-11-27,"OLIVER SPRINGS, TN",United States,TN0B,OAK RIDGE,Fatal(1),Destroyed,Airplane,N98BS,cessna,152,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1987,11,27,cessna 152,152,0.0,2-seater,TN,OLIVER SPRINGS
19245,20001213X32628,Accident,NYC88LA047,1987-11-28,"E.HARWICH PORT, MA",United States,,CHATHAM MUNICIPAL,Non-Fatal,Destroyed,Airplane,N9714J,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,1987,11,28,piper pa28180,pa-28,1.0,4-seater,MA,E.HARWICH PORT
19252,20001213X32594,Accident,MIA88LA048,1987-11-29,"PENSACOLA, FL",United States,PNS,PENSACOLA REGIONAL,Non-Fatal,Substantial,Airplane,N84613,cessna,172k,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,11,29,cessna 172k,172,2.0,4-seater,FL,PENSACOLA
19254,20001213X32592,Accident,MIA88LA046,1987-11-29,"NEW PORT RICHEY, FL",United States,,,Non-Fatal,Substantial,Airplane,N62083,cessna,172p,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC,Takeoff,Probable Cause,1987,11,29,cessna 172p,172,4.0,4-seater,FL,NEW PORT RICHEY
19256,20001213X32479,Accident,ATL88LA047,1987-11-29,"NORTHPORT, AL",United States,TCL,TUSCALOOSA MUNI,Non-Fatal,Substantial,Airplane,N8121T,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,2.0,2.0,0.0,VMC,Approach,Probable Cause,1987,11,29,piper pa28181,pa-28,4.0,4-seater,AL,NORTHPORT
19261,20001213X32480,Accident,ATL88LA049,1987-11-30,"PADUCAH, KY",United States,KY29,FARRINGTON AIRPARK,Non-Fatal,Substantial,Airplane,N2522L,cessna,172h,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,1987,11,30,cessna 172h,172,2.0,4-seater,KY,PADUCAH
19269,20001213X32703,Accident,FTW88LA034,1987-12-02,"MANGUM, OK",United States,OK11,MANGUM,Non-Fatal,Substantial,Airplane,N3888V,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1987,12,2,cessna 150,150,2.0,2-seater,OK,MANGUM
19270,20001213X32658,Accident,ATL88LA051,1987-12-02,"EDEN, NC",United States,,,Non-Fatal,Substantial,Airplane,N8674U,cessna,172f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,2,cessna 172f,172,1.0,4-seater,NC,EDEN
19274,20001213X32773,Accident,NYC88LA052,1987-12-03,"POTTSTOWN, PA",United States,N47,POTTSTOWN,Non-Fatal,Substantial,Airplane,N16491,piper,pa28140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1987,12,3,piper pa28140,pa-28,1.0,4-seater,PA,POTTSTOWN
19275,20001213X32774,Accident,NYC88LA053,1987-12-04,"HOULTON, ME",United States,,,Non-Fatal,Destroyed,Airplane,CGRQU,piper,pa28rt,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1987,12,4,piper pa28rt,pa-28,2.0,4-seater,ME,HOULTON
19280,20001213X32682,Accident,DEN88FA033,1987-12-05,"SAN JOSE, CA",United States,RHV,REID-HILLVIEW,Fatal(3),Destroyed,Airplane,N9309N,piper,pa28r200,No,1.0,Reciprocating,Personal,3.0,1.0,0.0,0.0,VMC,Go-around,Probable Cause,1987,12,5,piper pa28r200,pa-28,1.0,4-seater,CA,SAN JOSE
19285,20001213X32674,Accident,CHI88LA033,1987-12-05,"LINCOLN, IL",United States,3LC,LOGAN COUNTY,Non-Fatal,Substantial,Airplane,N757KW,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,5,cessna 152,152,1.0,2-seater,IL,LINCOLN
19286,20001213X32671,Accident,CHI88DEV01,1987-12-05,"MARION, IL",United States,MWA,WILLIAMSON COUNTY REGION,Fatal(1),Substantial,Airplane,N7533G,cessna,150l,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1987,12,5,cessna 150l,150,1.0,2-seater,IL,MARION
19307,20001213X32651,Accident,ATL88FA056,1987-12-09,"ANNISTON, AL",United States,,,Non-Fatal,Substantial,Airplane,N15629,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,IMC,Climb,Probable Cause,1987,12,9,piper pa28140,pa-28,2.0,4-seater,AL,ANNISTON
19322,20001213X32715,Accident,LAX88LA050,1987-12-11,"FULLERTON, CA",United States,FUL,FULLTERON MUNI,Non-Fatal,Substantial,Airplane,N50320,cessna,150h,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Takeoff,Probable Cause,1987,12,11,cessna 150h,150,1.0,2-seater,CA,FULLERTON
19324,20001213X32663,Accident,ATL88LA062,1987-12-11,"COLUMBUS, OH",United States,CMA,PORT COLUMBUS INTL,Non-Fatal,Substantial,Airplane,N52701,cessna,172p,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,11,cessna 172p,172,1.0,4-seater,OH,COLUMBUS
19325,20001213X32662,Accident,ATL88LA061,1987-12-11,"RICHMOND HTS, OH",United States,CGF,CUYAHOGA,Non-Fatal,Substantial,Airplane,N9494J,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,1987,12,11,piper pa28180,pa-28,1.0,4-seater,OH,RICHMOND HTS
19330,20001213X32664,Accident,ATL88LA063,1987-12-12,"PORTLAND, TN",United States,1M5,PORTLAND MUNI,Non-Fatal,Substantial,Airplane,N5995G,cessna,150k,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,12,cessna 150k,150,1.0,2-seater,TN,PORTLAND
19332,20001213X32665,Accident,ATL88LA064,1987-12-13,"GRANTHAM, NC",United States,6NCO,COX-GRANTHAM,Non-Fatal,Substantial,Airplane,N6258S,cessna,150g,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,13,cessna 150g,150,1.0,2-seater,NC,GRANTHAM
19344,20001213X32763,Accident,MKC88LA030,1987-12-17,"SILOAM SPRINGS, AR",United States,SLG,SMITH,Non-Fatal,Substantial,Airplane,N23303,cessna,150h,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1987,12,17,cessna 150h,150,1.0,2-seater,AR,SILOAM SPRINGS
19347,20001213X32700,Accident,FTW88FA038,1987-12-18,"BURNET, TX",United States,4R2,HORSESHOE BAY,Fatal(1),Destroyed,Airplane,N33007,piper,pa28r200,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1987,12,18,piper pa28r200,pa-28,0.0,4-seater,TX,BURNET
19359,20001213X32783,Accident,SEA88FA032,1987-12-20,"EASTSOUND, WA",United States,,,Fatal(1),Destroyed,Airplane,N4306J,piper,pa28140,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Climb,Probable Cause,1987,12,20,piper pa28140,pa-28,0.0,4-seater,WA,EASTSOUND
19361,20001213X32719,Accident,LAX88LA072,1987-12-20,"FALLBROOK, CA",United States,L18,FALLBROOK,Non-Fatal,Destroyed,Airplane,N7970B,cessna,172,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Go-around,Probable Cause,1987,12,20,cessna 172,172,2.0,4-seater,CA,FALLBROOK
19372,20001213X32675,Accident,CHI88LA034,1987-12-22,"STAUNTON, IL",United States,9H8,WILLHOIT,Non-Fatal,Substantial,Airplane,N78705,cessna,172k,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,22,cessna 172k,172,1.0,4-seater,IL,STAUNTON
19377,20001213X32705,Accident,FTW88LA041,1987-12-23,"GODLEY, TX",United States,,,Non-Fatal,Substantial,Airplane,N736AN,cessna,172xp,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,IMC,Cruise,Probable Cause,1987,12,23,cessna 172xp,172,4.0,4-seater,TX,GODLEY
19378,20001213X32729,Accident,MIA88FA071,1987-12-24,"DESTIN, FL",United States,,,Fatal(1),Destroyed,Airplane,N7005S,cessna,150h,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Maneuvering,Probable Cause,1987,12,24,cessna 150h,150,1.0,2-seater,FL,DESTIN
19382,20001213X32723,Accident,LAX88LA077,1987-12-24,"HILO, HI",United States,,,Non-Fatal,Substantial,Airplane,N3009J,cessna,150e,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,1987,12,24,cessna 150e,150,1.0,2-seater,HI,HILO
19385,20001213X32656,Accident,ATL88FA068,1987-12-25,"RUTHERFORDTON, NC",United States,RFE,RUTHERFORDTON,Fatal(4),Destroyed,Airplane,N2869C,piper,pa28rt201,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Go-around,Probable Cause,1987,12,25,piper pa28rt201,pa-28,0.0,4-seater,NC,RUTHERFORDTON
19387,20001213X32677,Accident,CHI88LA037,1987-12-25,"MT. PLEASANT, WI",United States,RAC,HORLICK RACINE,Non-Fatal,Substantial,Airplane,N6468S,cessna,150h,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1987,12,25,cessna 150h,150,1.0,2-seater,WI,MT. PLEASANT
19390,20001213X32765,Accident,MKC88LA033,1987-12-26,"HAYS, KS",United States,HYS,HAYS,Non-Fatal,Substantial,Airplane,N83BC,piper,pa28r201t,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,1987,12,26,piper pa28r201t,pa-28,4.0,4-seater,KS,HAYS
19393,20001213X32676,Accident,CHI88LA036,1987-12-26,"REDWOOD FALLS, MN",United States,RWF,REDWOOD FALLS MUNI.,Non-Fatal,Substantial,Airplane,N704XX,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,26,cessna 150m,150,1.0,2-seater,MN,REDWOOD FALLS
19394,20001213X32657,Accident,ATL88FA069,1987-12-26,"WARNER-ROBINS, GA",United States,WRB,ROBINS AFB,Non-Fatal,Substantial,Airplane,N13609,cessna,172m,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1987,12,26,cessna 172m,172,1.0,4-seater,GA,WARNER-ROBINS
19400,20001213X32751,Accident,MIA88LA077,1987-12-27,"TALLAHASSEE, FL",United States,NONE,,Non-Fatal,Substantial,Airplane,N89126,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Climb,Probable Cause,1987,12,27,cessna 152,152,2.0,2-seater,FL,TALLAHASSEE
19401,20001213X32718,Accident,LAX88LA070,1987-12-27,"GOODYEAR, AZ",United States,GYR,GOODYEAR,Non-Fatal,Substantial,Airplane,N4297F,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,1987,12,27,cessna 172,172,3.0,4-seater,AZ,GOODYEAR
19402,20001213X32696,Accident,FTW88DPA02,1987-12-27,"GAINESVILLE, TX",United States,GLE,GAINESVILLE MUNI,Non-Fatal,Substantial,Airplane,N63385,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,1987,12,27,cessna 150m,150,2.0,2-seater,TX,GAINESVILLE
19406,20001213X32725,Accident,LAX88LA081,1987-12-29,"BANNING, CA",United States,BNG,BANNING,Non-Fatal,Substantial,Airplane,N12943,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,12,29,cessna 172m,172,2.0,4-seater,CA,BANNING
19407,20001213X32707,Accident,FTW88LA043,1987-12-29,"WOODWORTH, LA",United States,1R4,WOODWORTH MUNICIPAL,Non-Fatal,Substantial,Airplane,N5719G,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1987,12,29,cessna 150,150,1.0,2-seater,LA,WOODWORTH
19414,20001213X32780,Accident,NYC88LA061,1987-12-31,"CONCORD, NH",United States,CON,CONCORD,Non-Fatal,Substantial,Airplane,N5383R,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,12,31,cessna 172,172,1.0,4-seater,NH,CONCORD
19416,20001213X32724,Accident,LAX88LA078,1987-12-31,"SAN ANDREAS, CA",United States,003,CALAVERAS,Non-Fatal,Substantial,Airplane,N6422G,cessna,150k,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1987,12,31,cessna 150k,150,2.0,2-seater,CA,SAN ANDREAS
19420,20001213X24938,Accident,MIA88FA081,1988-01-02,"PARKLAND, FL",United States,,,Fatal(1),Destroyed,Airplane,N24480,cessna,152,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,1988,1,2,cessna 152,152,0.0,2-seater,FL,PARKLAND
19426,20001213X24836,Accident,ATL88FA070,1988-01-02,"RAVENNA, OH",United States,29G,PORTAGE CO.,Fatal(2),Substantial,Airplane,N5364M,cessna,152,No,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1988,1,2,cessna 152,152,0.0,2-seater,OH,RAVENNA
19428,20001213X24944,Accident,MIA88LA082,1988-01-03,"TAMPA, FL",United States,X16,VANDENBERG,Non-Fatal,Substantial,Airplane,N40AZ,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1988,1,3,cessna 172,172,1.0,4-seater,FL,TAMPA
19433,20001213X24857,Accident,CHI88DET01,1988-01-04,"FORT WAYNE, IN",United States,,,Non-Fatal,Substantial,Airplane,N3003M,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,1988,1,4,piper pa28181,pa-28,2.0,4-seater,IN,FORT WAYNE
19439,20001213X24915,Accident,LAX88FA082,1988-01-07,"NAPA, CA",United States,APC,NAPA COUNTY,Fatal(2),Destroyed,Airplane,N2938X,piper,pa28181,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1988,1,7,piper pa28181,pa-28,0.0,4-seater,CA,NAPA
19444,20001213X24882,Accident,DEN88LA042,1988-01-08,"GREELEY, CO",United States,GXY,WELD COUNTY,Non-Fatal,Substantial,Airplane,N280SV,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1988,1,8,cessna 152,152,1.0,2-seater,CO,GREELEY
19452,20001213X24829,Accident,ANC88DAG02,1988-01-09,"WILLOW, AK",United States,222,WILLOW,Non-Fatal,Substantial,Airplane,N8439X,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,9,cessna 172,172,1.0,4-seater,AK,WILLOW
19456,20001213X24982,Accident,SEA88LA036,1988-01-10,"JUNEAU, AK",United States,,,Non-Fatal,Substantial,Airplane,N7221F,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,1988,1,10,piper pa28140,pa-28,2.0,4-seater,AK,JUNEAU
19457,20001213X24979,Accident,NYC88LA080,1988-01-10,"OLD BRIDGE, NJ",United States,3N6,OLD BRIDGE,Non-Fatal,Substantial,Airplane,N9317N,piper,pa28r200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1988,1,10,piper pa28r200,pa-28,3.0,4-seater,NJ,OLD BRIDGE
19468,20001213X24846,Accident,ATL88LA077,1988-01-12,"GREENSBORO, NC",United States,3A4,SOUTHEAST GREENSBORO,Non-Fatal,Substantial,Airplane,N757AS,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,12,cessna 152,152,1.0,2-seater,NC,GREENSBORO
19469,20001213X24844,Accident,ATL88LA075,1988-01-12,"CAROLINA BEACH, NC",United States,,,Non-Fatal,Substantial,Airplane,N50738,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1988,1,12,cessna 150,150,2.0,2-seater,NC,CAROLINA BEACH
19471,20001213X24831,Accident,ANC88LA024,1988-01-13,"CHUGIAK, AK",United States,Z15,BIRCHWOOD,Non-Fatal,Substantial,Airplane,N4379U,cessna,150d,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1988,1,13,cessna 150d,150,2.0,2-seater,AK,CHUGIAK
19478,20001213X24839,Accident,ATL88FA078,1988-01-14,"CEDARTOWN, GA",United States,,,Fatal(1),Substantial,Airplane,N12NF,cessna,150h,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1988,1,14,cessna 150h,150,0.0,2-seater,GA,CEDARTOWN
19481,20001213X24872,Accident,CHI88LA050,1988-01-15,"RED LAKE FALLS, MN",United States,,,Non-Fatal,Destroyed,Airplane,N8122U,cessna,172,No,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1988,1,15,cessna 172,172,4.0,4-seater,MN,RED LAKE FALLS
19482,20001213X24847,Accident,ATL88LA079,1988-01-15,"FAYETTEVILLE, NC",United States,FAY,FAYETTEVILLE MUNICIPAL,Non-Fatal,Destroyed,Airplane,N60362,cessna,150j,No,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1988,1,15,cessna 150j,150,1.0,2-seater,NC,FAYETTEVILLE
19487,20001213X24904,Accident,FTW88LA049,1988-01-16,"LITTLEFIELD, TX",United States,Q00,LITTLEFIELD MUNICIPAL,Non-Fatal,Substantial,Airplane,N8737W,piper,pa28235,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1988,1,16,piper pa28235,pa-28,2.0,4-seater,TX,LITTLEFIELD
19488,20001213X24871,Accident,CHI88LA049,1988-01-16,"BUFFALO, MN",United States,8Y2,BUFFALO,Non-Fatal,Substantial,Airplane,N7895G,cessna,172l,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,16,cessna 172l,172,1.0,4-seater,MN,BUFFALO
19489,20001213X24870,Accident,CHI88LA047,1988-01-16,"JENISON, MI",United States,08C,RIVERVIEW,Non-Fatal,Substantial,Airplane,N62877,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,1988,1,16,cessna 172p,172,1.0,4-seater,MI,JENISON
19490,20001213X24832,Accident,ANC88LA025,1988-01-16,"ANCHORAGE, AK",United States,,O'MALLEY,Non-Fatal,Substantial,Airplane,N9103W,piper,pa28,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,1988,1,16,piper pa28,pa-28,3.0,4-seater,AK,ANCHORAGE
19491,20001213X24960,Accident,MKC88FA040,1988-01-17,"CREVE COEUR, MO",United States,1HO,CREVE COEUR,Fatal(1),Destroyed,Airplane,N1727J,piper,pa28140,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1988,1,17,piper pa28140,pa-28,0.0,4-seater,MO,CREVE COEUR
19494,20001213X24981,Accident,SEA88LA035,1988-01-17,"EVERETT, WA",United States,PAE,SNOHOMISH COUNTY,Non-Fatal,Substantial,Airplane,N2811Q,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1988,1,17,cessna 172,172,1.0,4-seater,WA,EVERETT
19497,20001213X24833,Accident,ANC88LA026,1988-01-17,"ILIAMNA, AK",United States,,,Non-Fatal,Substantial,Airplane,N9974V,cessna,172,No,1.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,IMC,Maneuvering,Probable Cause,1988,1,17,cessna 172,172,3.0,4-seater,AK,ILIAMNA
19505,20001213X24840,Accident,ATL88FA081,1988-01-18,"BARNARDSVILLE, NC",United States,,,Fatal(1),Destroyed,Airplane,N55WP,piper,pa28r200,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,1988,1,18,piper pa28r200,pa-28,0.0,4-seater,NC,BARNARDSVILLE
19516,20001213X24984,Accident,SEA88LA038,1988-01-19,"PORT ANGELES, WA",United States,,,Non-Fatal,Substantial,Airplane,N9894J,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1988,1,19,cessna 150m,150,1.0,2-seater,WA,PORT ANGELES
19517,20001213X24983,Accident,SEA88LA037,1988-01-19,"VASHON ISLAND, WA",United States,2S1,VASHON ISLAND,Non-Fatal,Substantial,Airplane,N5328K,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,19,cessna 172p,172,1.0,4-seater,WA,VASHON ISLAND
19526,20001213X24891,Accident,DEN88LA056,1988-01-20,"DELTA, UT",United States,DTA,DELTA MUNICIPAL,Non-Fatal,Substantial,Airplane,N6372K,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,20,cessna 150m,150,1.0,2-seater,UT,DELTA
19532,20001213X24892,Accident,DEN88LA057,1988-01-22,"DUCHESNE, UT",United States,U69,DUCHESNE,Non-Fatal,Substantial,Airplane,N4897G,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1988,1,22,cessna 172n,172,1.0,4-seater,UT,DUCHESNE
19533,20001213X24976,Accident,NYC88LA068,1988-01-23,"MENDON, MA",United States,,,Non-Fatal,Destroyed,Airplane,N663FL,piper,pa28,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,2.0,VMC,Climb,Probable Cause,1988,1,23,piper pa28,pa-28,4.0,4-seater,MA,MENDON
19535,20001213X24919,Accident,LAX88FA094A,1988-01-23,"TEMPLE CITY, CA",United States,BUR,BURBANK,Fatal(2),Destroyed,Airplane,N5113A,cessna,172,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1988,1,23,cessna 172,172,1.0,4-seater,CA,TEMPLE CITY
19541,20001213X24873,Accident,CHI88LA051,1988-01-24,"FOND DU LAC, WI",United States,FLD,SKYPORT,Non-Fatal,Substantial,Airplane,N75716,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,24,cessna 172n,172,1.0,4-seater,WI,FOND DU LAC
19545,20001213X24933,Accident,LAX88LA097,1988-01-25,"REDBLUFF, CA",United States,RBL,REDBLUFF,Non-Fatal,Substantial,Airplane,N7929E,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1988,1,25,cessna 150,150,2.0,2-seater,CA,REDBLUFF
19548,20001213X24935,Accident,LAX88LA099,1988-01-26,"EL TORO, CA",United States,NZJ,EL TORO MCAS,Non-Fatal,Destroyed,Airplane,N4914H,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1988,1,26,cessna 152,152,1.0,2-seater,CA,EL TORO
19549,20001213X24934,Accident,LAX88LA098,1988-01-26,"DIAMOND SPRINGS, CA",United States,PVF,PLACERVILLE,Non-Fatal,Substantial,Airplane,N1706Q,cessna,150l,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,1988,1,26,cessna 150l,150,2.0,2-seater,CA,DIAMOND SPRINGS
19554,20001213X24986,Accident,SEA88LA041,1988-01-27,"ST. ANTHONY, ID",United States,U12,STANFORD FIELD,Non-Fatal,Substantial,Airplane,N2320E,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,1988,1,27,cessna 172m,172,2.0,4-seater,ID,ST. ANTHONY
19555,20001213X24936,Accident,LAX88LA100,1988-01-27,"LAKE HAVASU CTY, AZ",United States,LHU,LAKE HAVASU,Non-Fatal,Substantial,Airplane,N7069F,cessna,150f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1988,1,27,cessna 150f,150,1.0,2-seater,AZ,LAKE HAVASU CTY
19561,20001213X24968,Accident,MKC88LA047,1988-01-28,"OTTAWA, KS",United States,OWI,OTTAWA,Non-Fatal,Substantial,Airplane,N4717A,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1988,1,28,cessna 152,152,1.0,2-seater,KS,OTTAWA
